artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,3eFJI470ALf1EYjywPRsJy,58.0,0.679,0.923,6.0,-6.5,1.0,0.181,0.146,4.92e-06,0.124,0.752,121.984
Ellie Goulding,Hate Me - R3HAB Remix,3iJeF2izF1QcpCgUc97BLl,67.0,0.437,0.774,8.0,-4.918,1.0,0.0554,0.148,0.0,0.133,0.329,123.125
Loud Luxury,Body On My,6e0CvGZf7CouOpYF8toXHC,67.0,0.744,0.726,1.0,-4.675,1.0,0.0463,0.0399,0.0,0.374,0.687,121.985
Avicii,SOS - Laidback Luke Tribute Remix / Radio Edit,3eLdNmnRWr9gIyBcqTSSti,68.0,0.572,0.915,5.0,-4.451,0.0,0.0625,0.0111,0.0,0.339,0.678,123.919
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,55nMnifaQWKe3f9cbwOXwx,63.0,0.69,0.78,5.0,-4.446,0.0,0.0594,0.00733,0.00183,0.0729,0.238,126.07
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,1EJgymgJHcjSOGSHcYaxvW,66.0,0.805,0.835,0.0,-4.603,1.0,0.0896,0.13,5.03e-06,0.365,0.722,125.028
AJ Mitchell,All My Friends - Eden Prince Remix,5WaXMQMlQpq8pwIdaFP43L,60.0,0.694,0.901,1.0,-4.322,0.0,0.0948,0.0702,0.0,0.427,0.368,118.051
David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,3TjLsDgL0bTbSQIF6M5Ki8,65.0,0.678,0.747,10.0,-5.289,0.0,0.165,0.0395,0.0,0.174,0.516,120.002
Sam Smith,Dancing With A Stranger (With Normani) - Cheat Codes Remix,0GfS3y8Jd7SHWd9R51s7Fo,69.0,0.746,0.557,1.0,-6.722,1.0,0.0542,0.103,0.0036,0.138,0.324,111.961
Steve Aoki,Let It Be Me - Sondr Remix,2v3DuCVBbopteJqdM7aKQK,35.0,0.467,0.821,7.0,-5.466,1.0,0.0934,0.00791,0.000441,0.131,0.232,122.676
Avicii,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,70.0,0.572,0.934,6.0,-5.053,0.0,0.0446,0.00292,0.0198,0.105,0.204,125.948
R3HAB,All Around The World (La La La) - Marnik Remix,3Ciaf6WgvG95TGRGxQ1yO8,64.0,0.708,0.913,9.0,-4.329,0.0,0.0348,0.089,0.081,0.113,0.707,135.016
David Guetta,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1mC2UjWt25Oixtqu7C6suL,62.0,0.684,0.818,4.0,-4.477,0.0,0.128,0.0469,3.39e-06,0.119,0.336,123.938
AJ Mitchell,Slow Dance (feat. Ava Max) - Sam Feldt Remix,2wenGTypSYHXl1sN1pNC7X,70.0,0.732,0.85,1.0,-5.999,1.0,0.0444,0.114,2.02e-06,0.0388,0.372,124.024
The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,4sqABRRGU7CzcHXCyxUzFw,58.0,0.62,0.889,11.0,-3.785,1.0,0.0352,0.0163,1.86e-05,0.395,0.422,110.018
Lewis Capaldi,Hold Me While You Wait - Steve Void Remix,5dy3WUywjZcalTno1io8TQ,63.0,0.675,0.76,11.0,-7.037,1.0,0.0434,0.104,0.0,0.33,0.468,124.933
Marshmello,One Thing Right - Firebeatz Remix,2M9GeaCQXrV12J0wzBxIwi,66.0,0.682,0.851,1.0,-7.117,0.0,0.0363,0.0146,0.000834,0.0289,0.348,126.0
Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,1zzOMDmkRZy0g9f4JTAZKn,8.0,0.663,0.905,1.0,-3.781,0.0,0.0511,0.0325,0.0,0.333,0.397,125.996
Ava Max,So Am I - Toby Green Remix,4OFFY6L5ywYM1TwhXX69wQ,62.0,0.625,0.938,6.0,-3.983,1.0,0.0517,0.00432,0.00026,0.0923,0.371,127.997
Nikki Vianna,When You Leave - Breathe Carolina Remix,1hr5Y2i4NlE3LPvQZ9Q5Ao,30.0,0.679,0.909,1.0,-2.929,1.0,0.105,0.0334,0.0,0.269,0.819,119.885
Charlie Puth,Mother - Fedde Le Grand Remix,1aT7vltGhkjyMI3F3aO3A4,56.0,0.641,0.869,11.0,-4.754,1.0,0.0423,0.0319,0.00131,0.403,0.358,128.091
Starley,Signs - Eden Prince Remix,4YaU1EjXIkdRdkOI4cCZys,56.0,0.702,0.814,0.0,-7.51,0.0,0.0841,0.107,3.03e-05,0.374,0.503,121.993
Zara Larsson,Ruin My Life - Steve James Remix,0Fc9QSMX6fgEBgDjUax7t7,58.0,0.723,0.837,11.0,-6.487,1.0,0.0389,0.0103,0.000477,0.0834,0.643,123.952
Ava Max,Torn - KREAM Remix,7AasLZ4TYgh7dbJXZxcZVE,60.0,0.742,0.864,0.0,-5.06,1.0,0.0976,0.00141,0.00467,0.241,0.727,125.032
James Arthur,Quite Miss Home - Steve Void Remix,7p4jpmyBnOpqQ3rSGJzZ7w,60.0,0.716,0.815,10.0,-4.121,1.0,0.0533,0.108,0.0,0.163,0.351,124.975
MAX,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,4sLtguRBis05qfsBgJ1IdN,55.0,0.748,0.831,1.0,-5.029,1.0,0.115,0.0823,7.36e-05,0.0757,0.894,128.024
Marshmello,Happier - Matt Medved Remix,508lUjbGcPrL0CfvHC7UvI,59.0,0.816,0.833,5.0,-5.972,1.0,0.0511,0.126,9.09e-06,0.0625,0.793,122.032
The Chainsmokers,Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,63.0,0.633,0.854,0.0,-4.046,0.0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026
ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,67.0,0.563,0.81,2.0,-2.921,1.0,0.0522,0.00522,0.0,0.0846,0.495,129.975
Bazzi vs.,Paradise - Bazzi vs. Black Caviar Remix,5Vwgf4MVO0vLv8fbxaGGiW,55.0,0.728,0.815,11.0,-2.878,0.0,0.046,0.00223,0.000317,0.101,0.681,124.019
Charli XCX,White Mercedes - EDX's Miami Sunset Remix,5scxjvcdozadBoRRN0UMaM,56.0,0.846,0.773,5.0,-3.503,1.0,0.0473,0.0141,2.23e-05,0.204,0.586,124.008
Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,87.0,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952
Armin van Buuren,Unlove You,2tilX6FUl0IwFgiOYjuc6V,62.0,0.678,0.928,3.0,-3.66,0.0,0.0597,0.0303,3.33e-05,0.143,0.663,116.892
Billie Eilish,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,83.0,0.67,0.453,0.0,-11.265,1.0,0.295,0.252,0.33,0.117,0.68,135.055
Ava Max,Freaking Me Out - Keanu Silva Remix,478QYNLw6dhTTx4oEkhBeq,55.0,0.755,0.931,1.0,-4.104,0.0,0.0606,0.132,0.0271,0.0854,0.288,122.041
Sia,Heaven Can Wait - The Aston Shuffle Remix,3C4fzUgIP3ahkhOBdP38GM,61.0,0.622,0.859,5.0,-7.626,1.0,0.0636,0.000609,0.746,0.0909,0.442,121.968
Sean Paul,When It Comes To You - Benny Benassi & BB Team Remix,2k4c9ZAlIYHyXiJ4i20FO7,56.0,0.789,0.893,10.0,-4.364,0.0,0.168,0.0538,0.0,0.221,0.41,121.956
Charli XCX,Gone - The Wild Remix,79zGYOcAe2VmJsyQiJX31a,57.0,0.64,0.838,6.0,-4.203,1.0,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081
Estelle,American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,56.0,0.609,0.764,5.0,-4.564,0.0,0.111,0.0994,0.0,0.197,0.531,128.082
Bastille,Million Pieces - M-22 Remix,08rBIlTMXlF5uEHobZglxv,53.0,0.64,0.992,4.0,-3.318,0.0,0.0585,0.0832,0.0083,0.109,0.479,123.951
for KING & COUNTRY,joy. (R3HAB Remix),1BmdqDrBU5eohtRwHBls6C,56.0,0.75,0.81,0.0,-4.607,0.0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038
Steve Aoki,Crash Into Me - Settle Down Steavis Aoki Remix,5rxKInBVj0QE87KenyDiLf,34.0,0.535,0.956,1.0,-2.996,0.0,0.0343,0.000609,0.0109,0.262,0.12,127.984
Lil Nas X,Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,74.0,0.766,0.771,6.0,-9.108,1.0,0.0576,0.00407,3.76e-06,0.113,0.297,140.036
Starley,Lovers + Strangers - GATTÜSO Remix,5qCrT9lVmIGxqB8i6bb83P,46.0,0.649,0.821,10.0,-4.952,0.0,0.0472,0.017,0.000347,0.0655,0.394,125.977
Calvin Harris,Promises (with Sam Smith) - David Guetta Remix,3Lv3frZVXU7Q0JEFvLIzWW,63.0,0.588,0.697,3.0,-4.744,0.0,0.0372,0.186,0.000219,0.103,0.225,125.157
R3HAB,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,2bZYJvVRN5EqIvAUFhUNls,55.0,0.355,0.789,5.0,-4.358,0.0,0.165,0.0148,0.0,0.0355,0.169,80.444
Why Don't We,What Am I - SONDR Remix,3utdq3dPLVD4r7Vv9BnCAI,52.0,0.542,0.84,0.0,-5.283,0.0,0.0419,0.0336,8.45e-05,0.277,0.509,118.02
Olympis,Cool Kids,1ppOGANOzMT01Cxh9jx4hN,67.0,0.735,0.5,8.0,-11.297,1.0,0.0511,0.415,3.12e-05,0.13,0.119,126.1
DJ Snake,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,5Shjuje8PRcX7ueEVajrLH,63.0,0.752,0.84,6.0,-4.451,0.0,0.0373,0.00486,0.0109,0.0916,0.461,124.002
Smash Mouth,All Star - Breathe Carolina Remix,6wKJjrWWP4qpzYbE8oQkc4,60.0,0.748,0.903,3.0,-5.877,0.0,0.0385,0.0324,0.0,0.106,0.751,115.018
SHAED,Trampoline - Dave Audé Remix,6EDH26ppl7R8oV4tGilCkS,45.0,0.607,0.955,7.0,-3.613,0.0,0.102,0.0163,0.121,0.0725,0.501,125.984
David Guetta,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,4RaN7556EogBfF80klMEX2,58.0,0.607,0.995,9.0,-2.325,0.0,0.0487,0.0921,0.002,0.0445,0.664,124.998
Kaskade,With You - Dexter Remix,1nwoWaqzB30bD4IPqRNuex,51.0,0.679,0.786,1.0,-6.918,0.0,0.132,0.119,5.89e-06,0.224,0.47,126.092
GASHI,Safety (feat. DJ Snake) - Dark Heart 2am Mix,4fDBElPGDqZQ3rJorZTm2w,58.0,0.714,0.801,5.0,-5.8,0.0,0.0301,0.0204,0.00615,0.334,0.292,124.015
Bazzi vs.,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,6AZ21kPj2a0INgf3uCviVu,56.0,0.69,0.862,2.0,-4.154,1.0,0.0944,0.0611,1.85e-05,0.238,0.453,121.975
Khalid,Talk - Disclosure VIP,3uXHSf9sSIpOJWuC1H8DiU,60.0,0.775,0.867,4.0,-7.388,0.0,0.204,0.0158,0.0117,0.0355,0.565,128.956
Herve Pagez,Spicy - Majestic Remix,4Q9iBGT9b9CVTtDwsgQWnl,48.0,0.814,0.838,11.0,-5.547,1.0,0.0763,0.001,0.0223,0.0185,0.959,121.978
Mark Ronson,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,6LCsZ8ARrIq0n9nr6gM2ru,56.0,0.784,0.779,8.0,-5.48,1.0,0.0387,0.0357,0.025,0.0245,0.459,124.994
James Arthur,Treehouse - R3HAB Remix,27F9FlipD657qYRQT3qxFm,56.0,0.367,0.783,6.0,-4.504,1.0,0.154,0.00515,0.0,0.0545,0.289,88.013
Arlissa,Hearts Ain't Gonna Lie - Eden Prince Remix,6B9cqNooxIyPfr3P5EB8LA,65.0,0.609,0.83,6.0,-3.759,0.0,0.0793,0.201,6.18e-05,0.0321,0.604,117.833
The Chainsmokers,Call You Mine,05CwHjIk71RXVU40boRMnR,39.0,0.591,0.702,7.0,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501,104.003
Sam Feldt,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,83.0,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.651,107.356
Marshmello,Here With Me,5icOoE6VgqFKohjWWNp0Ac,83.0,0.791,0.565,5.0,-3.933,0.0,0.0439,0.0623,0.0,0.156,0.181,99.961
5 Seconds of Summer,Easier - Seeb Remix,6GIRtKNXokeu25nn7U6Hu8,71.0,0.564,0.747,5.0,-3.374,1.0,0.0584,0.0728,0.0,0.151,0.717,97.878
Ellie Goulding,Sixteen,4PkIDTPGedm0enzdvilLNd,81.0,0.669,0.801,8.0,-5.445,1.0,0.136,0.268,0.0,0.0594,0.541,109.919
Katy Perry,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,85.0,0.77,0.882,8.0,-4.792,1.0,0.0602,0.194,0.0,0.316,0.385,99.991
Gryffin,All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,76.0,0.513,0.788,0.0,-4.629,1.0,0.0364,0.00968,0.0,0.11,0.234,139.987
NOTD,I Miss Myself (with HRVY),5YkmS18BehACOhIIeUqe6l,71.0,0.72,0.864,0.0,-3.249,1.0,0.208,0.0856,0.0,0.16,0.659,96.048
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,3vQhEd4lOg4mAV6CHCgoHW,65.0,0.789,0.858,5.0,-4.388,1.0,0.0404,0.22,4.58e-05,0.335,0.491,110.012
The Chainsmokers,Takeaway (feat. Lennon Stella),6wo37KVqFJhtuxPTpLCcfe,67.0,0.294,0.505,3.0,-8.106,1.0,0.042,0.12,0.0,0.0977,0.357,85.332
Zara Larsson,All the Time,3OTSBoYKO7HzGVj8Bu2OH9,74.0,0.665,0.799,6.0,-2.868,0.0,0.0617,0.18,0.0,0.125,0.5,101.976
Jonas Blue,What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,81.0,0.46,0.8,1.0,-3.584,1.0,0.05,0.289,6.16e-06,0.121,0.553,102.46
Kaskade,With You,1xK7enJZVdv37fnnxoZlPq,71.0,0.362,0.921,1.0,-3.815,0.0,0.486,0.123,0.0,0.19,0.529,172.191
Gryffin,Body Back (feat. Maia Wright),1z1XegUChLLQfcbtIK8ABn,75.0,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032
Kygo,Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,73.0,0.618,0.66,11.0,-8.14,0.0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0
Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,79.0,0.665,0.699,11.0,-5.265,1.0,0.0578,0.423,0.0,0.0969,0.585,124.896
NOTD,I Wanna Know (feat. Bea Miller),18W92Zm1KjLCbUIszOhpkD,74.0,0.661,0.725,6.0,-4.859,1.0,0.0563,0.0253,0.0,0.123,0.605,119.927
3LAU,Better With You,3D37T7euWvVJ45evRmriIh,63.0,0.571,0.752,3.0,-4.872,1.0,0.0293,0.0196,6.92e-05,0.114,0.25,102.043
Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,79.0,0.591,0.705,9.0,-6.519,0.0,0.079,0.381,0.000116,0.131,0.27,121.799
Jonas Blue,Polaroid,6XqvFyJGdUD5IWee02ARKU,16.0,0.652,0.898,7.0,-4.481,0.0,0.0361,0.29,0.0,0.073,0.472,114.043
Shawn Mendes,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,75.0,0.706,0.855,10.0,-5.377,1.0,0.215,0.0911,0.0,0.347,0.293,107.184
ILLENIUM,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,75.0,0.404,0.806,2.0,-4.75,1.0,0.0496,0.198,0.0,0.114,0.112,148.036
Loud Luxury,I'm Not Alright,7Ht0v0LWBCOEjmNQ0iMpNr,55.0,0.876,0.856,4.0,-3.884,1.0,0.0486,0.0812,1.29e-06,0.457,0.685,121.991
Avicii,SOS,6nDKrPlXdpomGBgAlO7UdP,30.0,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.119,0.376,100.001
Jax Jones,Harder,2b1BwUGGyKq0CoJd8G1B6M,62.0,0.906,0.832,5.0,-3.004,0.0,0.0718,0.0909,0.0,0.152,0.751,104.03
Zedd,The Middle,09IStsImFySgyp0pIQdqAc,84.0,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01
NOTD,Wanted,1lGVyEkGHUz7Pg78QGaS4a,70.0,0.693,0.674,5.0,-4.449,1.0,0.0723,0.185,0.0,0.0639,0.378,95.972
Steve Aoki,Crash Into Me,6ksMjdec8b6C45TUawkAdu,37.0,0.672,0.815,1.0,-6.476,0.0,0.0981,0.00246,0.0,0.577,0.341,115.033
Gryffin,Need Your Love (with Noah Kahan),1vsQb8n0icvMsFnL9663LM,70.0,0.581,0.76,0.0,-3.962,1.0,0.0406,0.16,0.0,0.183,0.523,104.099
ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,74.0,0.643,0.594,2.0,-5.453,1.0,0.0318,0.0128,0.0,0.118,0.442,144.033
Mabel,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,85.0,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234,98.994
A R I Z O N A,Nostalgic,1pBO9JDqh1y3TbCKEO1OvG,36.0,0.691,0.538,0.0,-9.952,1.0,0.103,0.246,0.163,0.178,0.329,99.972
Steve Aoki,Let It Be Me,1LjxmkW3xRQP2HzswhYyyc,52.0,0.661,0.758,7.0,-5.299,1.0,0.0864,0.0797,0.0,0.106,0.387,114.098
Starley,Lovers + Strangers,7FCZhkhzEUVNUAlGauNKIe,58.0,0.653,0.69,1.0,-5.003,1.0,0.0756,0.109,0.0,0.136,0.652,110.214
Alesso,Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,72.0,0.734,0.693,0.0,-6.474,1.0,0.0361,0.0878,0.0,0.341,0.55,110.021
ayokay,Sleepless Nights,4PUWpNtDejQwwa80LjvxXl,64.0,0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,6.25e-06,0.226,0.449,139.98
ARTY,Save Me Tonight,1nufXiTCTTAeJfO9hLHvO8,63.0,0.55,0.899,5.0,-3.284,0.0,0.0458,0.0113,9.65e-05,0.137,0.408,125.85
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,77.0,0.703,0.868,7.0,-4.661,0.0,0.0291,0.15,0.132,0.104,0.733,121.03
Martin Garrix,No Sleep (feat. Bonn),1ahVFh0ViDZr8LvkEVlq3B,76.0,0.44,0.635,11.0,-6.385,1.0,0.0326,0.129,0.0,0.121,0.327,128.133
Gryffin,Feel Good (feat. Daya),0Ev562zA4pmUsBqjxsxxdx,74.0,0.625,0.707,2.0,-4.761,1.0,0.0337,0.22,0.0,0.213,0.479,138.064
Cashae,Endless Summer,5l8AUgBTWuOECwVgYtaUyE,56.0,0.625,0.719,4.0,-5.541,1.0,0.0612,0.048,0.0,0.0668,0.326,101.091
Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],35MKhw2YBKApmD7fAnPERC,77.0,0.547,0.795,8.0,-3.721,1.0,0.0489,0.145,0.0,0.11,0.723,118.118
Kygo,Think About You,3Kuu5vASpXK8oRsxOvau6P,71.0,0.673,0.596,10.0,-7.891,1.0,0.0354,0.166,0.0,0.11,0.19,123.969
Carly Rae Jepsen,Party For One,7KW3XQV5Or5CF57MYVj5h4,64.0,0.699,0.633,6.0,-6.547,1.0,0.0362,0.0453,0.0,0.101,0.458,123.449
Tiësto,Ritual,3M9Apu4OZfylLTFKvgEtKa,82.0,0.647,0.726,3.0,-4.389,0.0,0.0552,0.157,0.0,0.0844,0.767,114.996
Silk City,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,81.0,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159
Shallou,Lie,6QcrReLyoun4xrPVsZ5OJE,41.0,0.655,0.427,2.0,-11.684,0.0,0.0799,0.295,0.00108,0.0788,0.224,107.992
benny blanco,I Found You (with Calvin Harris),1kQhi22kyluRCnIPAXtxEZ,62.0,0.79,0.865,6.0,-4.159,1.0,0.0438,0.0264,0.0892,0.24,0.362,122.99
Carly Rae Jepsen,Now That I Found You,5cE201rNvIkryS8N1dJ5nR,5.0,0.611,0.737,0.0,-5.154,0.0,0.0476,0.0145,0.0,0.107,0.574,124.169
R3HAB,All Comes Back To You,4AkCyd9Nlbt8JprQq9V6o2,72.0,0.726,0.763,4.0,-6.872,1.0,0.0882,0.524,2.64e-06,0.0943,0.516,128.02
DVBBS,Need U,48GmVZwvkoVC5StfMLfNJE,24.0,0.714,0.705,10.0,-6.479,1.0,0.0995,0.292,0.000386,0.126,0.471,114.994
Lost Kings,First Love,01iyINEYgPQ7ThMZuHUsqS,58.0,0.619,0.938,5.0,-5.245,1.0,0.35,0.0257,1.39e-05,0.128,0.601,94.38
Armin van Buuren,Something Real,6BwClo5W3VvTzJv8bvZXDD,65.0,0.575,0.808,1.0,-4.578,1.0,0.0439,0.0446,0.0,0.0693,0.232,127.922
Alesso,TIME,108r6pnZHStBIktpyyps9w,64.0,0.768,0.808,5.0,-1.818,1.0,0.112,0.00627,5.33e-06,0.343,0.664,119.971
Elderbrook,Something About You (with Rudimental),24Hzd4FPhz0HPx9jhM9cap,53.0,0.767,0.605,6.0,-5.737,0.0,0.188,0.559,0.000363,0.193,0.657,107.042
Martin Garrix,Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,72.0,0.466,0.612,8.0,-4.855,0.0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114
FANNYPACK,Simple (STVW Remix),0gIZLyF3MWQVcspzrLWYod,39.0,0.434,0.917,9.0,-3.613,0.0,0.0633,0.301,1.8e-05,0.289,0.622,121.967
Joel Corry,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,75.0,0.744,0.79,8.0,-4.617,0.0,0.0562,0.0547,0.000802,0.32,0.847,125.002
Herve Pagez,Spicy (with Diplo & Charli XCX),54z0kLF0skj0Hdb9wCqPJt,60.0,0.837,0.818,8.0,-4.474,0.0,0.0533,0.0527,0.00642,0.11,0.484,109.993
Lindsey Stirling,The Upside (feat. Elle King),6mPstbtzhyqKmwefY4eVWD,18.0,0.514,0.856,2.0,-4.285,1.0,0.0717,0.00123,6.34e-06,0.544,0.351,117.014
Zedd,Stay,6uBhi9gBXWjanegOb2Phh0,79.0,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04
Armin van Buuren,Million Voices,1Pe3Tnahd3nNcKrTvNvNvW,60.0,0.466,0.869,3.0,-4.275,1.0,0.0529,0.0142,0.00241,0.115,0.185,126.113
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,83.0,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881
The Chainsmokers,Closer (feat. Halsey),7BKLCZ1jbUBVqRi2FVlTVw,85.0,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01
ODESZA,Say My Name (feat. Zyra) - RAC Mix,2IDHoSlbG0CKH9rhq68wTb,47.0,0.647,0.624,9.0,-8.446,1.0,0.0451,0.025,0.056,0.0616,0.477,115.002
Zedd,Clarity,60wwxj6Dd9NJlirf84wr2c,74.0,0.509,0.781,8.0,-3.48,1.0,0.072,0.0398,0.0,0.0749,0.176,128.0
Clean Bandit,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,80.0,0.737,0.636,11.0,-4.546,0.0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005
Martin Garrix,Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,81.0,0.584,0.54,1.0,-7.786,0.0,0.0576,0.0895,0.0,0.261,0.195,137.972
Justin Bieber,Friends (with BloodPop®),7iNIg7XDEaYECfWD5dJ9Va,76.0,0.743,0.733,8.0,-5.337,1.0,0.0375,0.00402,0.0,0.304,0.622,104.977
The Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,96.0,0.721,0.716,10.0,-7.037,0.0,0.0657,0.0334,0.00084,0.237,0.667,104.994
Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,84.0,0.781,0.768,11.0,-5.991,1.0,0.0394,0.0119,4.91e-06,0.325,0.486,123.07
Riton,Turn Me On (feat. Vula),0qaWEvPkts34WF68r8Dzx9,86.0,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517,124.052
San Holo,Light,6jq6rcOikCZAmjliAgAmfT,68.0,0.57,0.763,1.0,-4.137,1.0,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088
